"Nr.","Typ","Phase","Baustatus","Bohrung","Passstück","Montage-Status","Abgelehnt","Module","Höhe (Soll)","Betriebs-ID","SP Status","Stapel","Pos","Stack bestellt","Stack geliefert","Vormontiert am","Primärkonstruktion montiert","Modulträger montiert","Kranstandorte nach Jahr","Bestellfristen","Birkhuhn","Planungszonen ILF","Bauphasen_STRABAG_260410"
"1119","B_2025","3","Modulträger montiert","Injiziert","Montiert","Modulträger montiert","","10","1971.93","","2","12","7","25.7.2025","8.8.2025","—","9.9.2025","10.9.2025","27_7.3 · 27_7.2","","","PZ25 (#12)",""
"1136","B_2025","4","Modulträger montiert","Injiziert","Montiert","Modulträger montiert","","10","1973.96","","2","4","3","25.6.2025","22.7.2025","—","11.8.2025","19.8.2025","27_7.4","","","PZ25 (#12)",""
"1137","B_2025","4","Modulträger montiert","Injiziert","Montiert","Modulträger montiert","","10","1974.54","","2","12","3","25.7.2025","8.8.2025","—","8.9.2025","8.9.2025","27_7.4","","","PZ25 (#12)",""
"1138","B_2025","4","Modulträger montiert","Injiziert","Montiert","Modulträger montiert","","10","1973.90","","2","25","4","1.7.2025","2.7.2025","—","16.7.2025","22.7.2025","27_7.4","","","PZ25 (#12)",""
"1139","B_2025","4","Modulträger montiert","Injiziert","Montiert","Modulträger montiert","","10","1974.39","","2","3","1","25.6.2025","15.8.2025","—","30.7.2025","15.8.2025","27_7.4 · 27_7.3","","","PZ25 (#12)",""
"1140","B_2025","3","Modulträger montiert","Injiziert","Montiert","Modulträger montiert","","10","1973.95","","2","5","1","25.7.2025","2.9.2025","—","29.8.2025","2.9.2025","27_7.4 · 27_7.3","","","PZ25 (#12)",""
"1141","B_2025","3","Modulträger montiert","Injiziert","Montiert","Modulträger montiert","","10","1973.97","","2","5","2","25.7.2025","2.9.2025","—","27.8.2025","2.9.2025","27_7.3","","","PZ25 (#12)",""
"1142","B_2025","3","Modulträger montiert","Injiziert","Montiert","Modulträger montiert","","10","1973.66","","2","5","3","25.7.2025","2.9.2025","—","27.8.2025","2.9.2025","27_7.3","","","PZ25 (#12)",""
"1143","B_2025","3","Modulträger montiert","Injiziert","Montiert","Modulträger montiert","","10","1973.62","","2","6","8","25.7.2025","9.9.2025","—","16.9.2025","16.9.2025","27_7.3 · 27_7.2","","","PZ25 (#12)",""
"1164","A_2025","3","Modulträger montiert","Injiziert","Montiert","Modulträger montiert","","10","1976.05","","2","5","4","25.7.2025","2.9.2025","—","27.8.2025","2.9.2025","27_7.3","","","PZ25 (#12)",""
