"Nr.","Typ","Phase","Baustatus","Bohrung","Passstück","Montage-Status","Abgelehnt","Module","Höhe (Soll)","Betriebs-ID","SP Status","Stapel","Pos","Stack bestellt","Stack geliefert","Vormontiert am","Primärkonstruktion montiert","Modulträger montiert","Kranstandorte nach Jahr","Bestellfristen","Birkhuhn","Planungszonen ILF","Bauphasen_STRABAG_260410"
"1702","B_2025","4","Modulträger montiert","Injiziert","Montiert","Modulträger montiert","","10","1981.29","","2","7","6","25.7.2025","18.8.2025","—","11.8.2025","19.8.2025","27_7.4","","","PZ25 (#12)",""
"1706","D","26v-B04T03-B5","Geplant","Geplant","Nicht berechnet","Nicht begonnen","","10","2027.35","C5-14-1","2","","","—","—","—","—","—","26_4.3 · 26_4.4","26_4.3 || 2026-08-06","","PZ2 (#3)","26_4.3"
"1723","B","27n-B09T06-C2-C3","Geplant","Geplant","Nicht berechnet","Nicht begonnen","","10","2018.86","","2","","","—","—","—","—","—","26_5.4 · 26_5.5 · 27_BP_C_5 · 27_BP_C_4","27_BP_C_5 || ","Schongebiet (#1)","PZ2 (#3)","27_BP_C_5"
"1730","C","26v-B04T03-B5","Geplant","Geplant","Nicht berechnet","Nicht begonnen","","10","2024.78","C5-12-1","2","","","—","—","—","—","—","26_4.3 · 26_4.4 · 26_4.1","26_4.4 || 2026-08-17","","PZ2 (#3)","26_4.4"
"1731","E_2025","1","Modulträger montiert","Injiziert","Montiert","Modulträger montiert","","10","1976.24","","2","16","8","2.9.2025","7.10.2025","—","1.10.2025","7.10.2025","27_7.7","","","PZ3 (#4)",""
"1732","E_2025","1","Modulträger montiert","Injiziert","Montiert","Modulträger montiert","","10","1983.61","","2","18","10","2.9.2025","30.9.2025","—","3.10.2025","7.10.2025","","","","PZ25 (#11)",""
"1733","D","26v-B04T03-B5","Geplant","Geplant","Nicht berechnet","Nicht begonnen","","10","2023.79","C5-11-2","2","","","—","—","—","—","—","26_4.3 · 26_4.4 · 26_4.1","26_4.4 || 2026-08-17","","PZ2 (#3)","26_4.4"
"1734","C","26v-B04T03-B5","Geplant","Geplant","Nicht berechnet","Nicht begonnen","","10","2023.13","C5-11-1","2","","","—","—","—","—","—","26_4.3 · 26_4.4 · 26_4.1","26_4.4 || 2026-08-17","","PZ2 (#3)","26_4.4"
"1735","E","26v-B04T03-B5","Geplant","Geplant","Nicht berechnet","Nicht begonnen","","10","2029.09","C5-15-1","2","","","—","—","—","—","—","26_4.3 · 26_4.4","26_4.3 || 2026-08-06","","PZ2 (#3)","26_4.3"
"1737","B_2025","4","Modulträger montiert","Injiziert","Montiert","Modulträger montiert","","10","1971.00","","2","25","6","1.7.2025","2.7.2025","—","16.7.2025","22.7.2025","27_7.5 · 27_7.4 · 26_2.1","","","PZ25 (#12)",""
"1741","E_KF2025","26n-B09T08-B1","Passstück ausstehend","Geplant","Ausstehend","Nicht begonnen","","10","1985.03","B1-2-3","2","","","—","—","—","—","—","26_1.5/1.6/BP_B_7 · 26_BP_B_7 · 26_BP_B_8","26_1.5 || 2026-06-25","","PZ1 (#1)","26_1.5"
"1742","E_KF2025","26n-B09T08-B1","Passstück ausstehend","Geplant","Ausstehend","Nicht begonnen","","10","1986.88","B1-3-4","2","","","—","—","—","—","—","26_1.5/1.6/BP_B_7 · 26_BP_B_7 · 26_BP_B_8","26_1.5 || 2026-06-25","","PZ1 (#1)","26_1.5"
"1743","B_KF2025","26n-B09T08-B1","Geplant","Geplant","Nicht berechnet","Nicht begonnen","","10","1988.48","B1-4-3","2","","","—","—","—","—","—","26_1.5/1.6/BP_B_7 · 26_BP_B_7 · 26_BP_B_8","26_1.5 || 2026-06-25","","PZ1 (#1)","26_1.5"
"1746","C","26v-B02T02-TG","Abgesteckt","Abgesteckt","Nicht berechnet","Nicht begonnen","","10","1978.52","TG.S-6-1","2","39","5","—","—","—","—","—","26_3.1/1.4 · 26_3.2 · 27_7.1 · 28_11.2","26_3.1 || 2026-06-12","","PZ1 (#1)","26_3.1"
"1749","E_KF2025","26v-B02T02-TG","Gebohrt","Gebohrt","Nicht berechnet","Nicht begonnen","","10","1979.49","TG.S-5-1","2","39","4","—","—","—","—","—","26_3.1/1.4 · 26_3.2 · 27_7.1 · 28_11.2","26_3.1 || 2026-06-12","","PZ1 (#1)","26_3.1"
"1759","C","26v-B04T03-B5","Geplant","Geplant","Nicht berechnet","Nicht begonnen","","10","2022.54","C5-9-2","2","","","—","—","—","—","—","26_4.3 · 26_4.1","26_4.3 || 2026-08-06","","PZ2 (#3)","26_4.3"
"1760","B_2025","4","Modulträger montiert","Injiziert","Montiert","Modulträger montiert","","10","1971.19","","2","25","7","1.7.2025","2.7.2025","—","3.7.2025","3.7.2025","27_7.4","","","PZ25 (#12)",""
"1761","B_2025","4","Modulträger montiert","Injiziert","Montiert","Modulträger montiert","","10","1970.94","","2","25","9","1.7.2025","2.7.2025","—","4.8.2025","14.8.2025","27_7.4","","","PZ25 (#12)",""
"1762","B_2025","4","Modulträger montiert","Injiziert","Montiert","Modulträger montiert","","10","1970.82","","2","25","8","1.7.2025","2.7.2025","—","16.7.2025","22.7.2025","27_7.4","","","PZ25 (#12)",""
"1763","B_2025","4","Modulträger montiert","Injiziert","Montiert","Modulträger montiert","","10","1970.81","","2","25","10","1.7.2025","2.7.2025","—","30.7.2025","2.9.2025","27_7.4 · 27_7.3","","","PZ25 (#12)",""
"1764","B_2025","4","Modulträger montiert","Injiziert","Montiert","Modulträger montiert","","10","1974.22","","2","12","8","25.7.2025","8.8.2025","—","16.9.2025","16.9.2025","27_7.5 · 26_2.1","","","PZ25 (#12)",""
"1765","B_2025","4","Modulträger montiert","Injiziert","Montiert","Modulträger montiert","","10","1974.25","","2","7","3","25.7.2025","18.8.2025","—","13.8.2025","18.8.2025","27_7.5 · 26_2.1","","","PZ25 (#12)",""
"1771","A_2025","3","Modulträger montiert","Injiziert","Montiert","Modulträger montiert","","10","1977.32","","2","13","3","25.7.2025","3.9.2025","—","29.8.2025","3.9.2025","27_7.3","","","PZ25 (#12)",""
"1772","A_2025","3","Modulträger montiert","Injiziert","Montiert","Modulträger montiert","","10","1977.34","","2","13","4","25.7.2025","3.9.2025","—","27.8.2025","3.9.2025","27_7.3","","","PZ25 (#12)",""
"1773","A_2025","3","Modulträger montiert","Injiziert","Montiert","Modulträger montiert","","10","1977.09","","2","25","11","1.7.2025","2.7.2025","—","8.8.2025","21.8.2025","27_7.4 · 27_7.3","","","PZ25 (#12)",""
"1775","B_2025","3","Modulträger montiert","Injiziert","Montiert","Modulträger montiert","","10","1981.40","","2","6","4","25.7.2025","9.9.2025","—","2.9.2025","9.9.2025","26_1.3/BP_B_6 · 27_7.4","","","PZ25 (#12)",""
"1776","C","26n-B09T08-C2","Geplant","Geplant","Nicht berechnet","Nicht begonnen","","10","2015.20","","2","","","—","—","—","—","—","26_5.4 · 26_5.5 · 27_BP_C_5 · 27_BP_C_4","26_5.4 || ","Schongebiet (#1)","PZ2 (#3)","26_5.4"
"1777","D","26n-B08T07-C2","Geplant","Geplant","Nicht berechnet","Nicht begonnen","","10","2020.03","","2","","","—","—","—","—","—","26_5.4 · 26_5.5 · 27_BP_C_6 · 27_BP_C_5","27_BP_C_6 || ","Schongebiet (#1)","PZ2 (#3)","27_BP_C_6"
"1778","B","27n-B09T06-C2-C3","Geplant","Geplant","Nicht berechnet","Nicht begonnen","","10","2018.35","","2","","","—","—","—","—","—","26_5.4 · 26_5.5 · 27_BP_C_6 · 27_BP_C_5 · 27_BP_C_4","27_BP_C_6 || ","Schongebiet (#1)","PZ2 (#3)","27_BP_C_6"
"1782","B","27n-B09T06-C2-C3","Geplant","Geplant","Nicht berechnet","Nicht begonnen","","10","2016.32","","2","","","—","—","—","—","—","26_5.4 · 26_5.5 · 27_BP_C_6 · 27_BP_C_5","27_BP_C_6 ||  · 26_5.4 || ","Schongebiet (#1)","PZ2 (#3)","27_BP_C_6 · 26_5.4"
"1783","B","26n-B08T07-C2","Geplant","Geplant","Nicht berechnet","Nicht begonnen","","8","2014.74","","2","","","—","—","—","—","—","26_5.4 · 26_5.5 · 27_BP_C_6 · 27_BP_C_5 · 27_BP_C_4","26_5.4 || ","Schongebiet (#1)","PZ2 (#3)","26_5.4"
"1784","B","26n-B08T07-C2","Geplant","Geplant","Nicht berechnet","Nicht begonnen","","10","2020.94","","2","","","—","—","—","—","—","26_5.4 · 26_5.5 · 27_BP_C_5 · 27_BP_C_4","27_BP_C_5 || ","Schongebiet (#1)","PZ2 (#3)","27_BP_C_5"
"1787","C","26n-B08T07-C2","Geplant","Geplant","Nicht berechnet","Nicht begonnen","","10","2022.28","","2","","","—","—","—","—","—","26_5.4 · 26_5.5 · 27_BP_C_6 · 27_BP_C_5 · 27_BP_C_4","26_5.4 || ","Schongebiet (#1)","PZ2 (#3)","26_5.4"
"1788","B","26n-B08T07-C2","Geplant","Geplant","Nicht berechnet","Nicht begonnen","","10","2022.72","","2","","","—","—","—","—","—","26_5.4 · 26_5.5 · 27_BP_C_5 · 27_BP_C_4","26_5.4 || ","Schongebiet (#1)","PZ2 (#3)","26_5.4"
"1789","B","26n-B08T07-C2","Geplant","Geplant","Nicht berechnet","Nicht begonnen","","10","2024.70","","2","","","—","—","—","—","—","26_5.4 · 26_5.5 · 27_BP_C_5 · 27_BP_C_4","26_5.4 || ","Schongebiet (#1)","PZ2 (#3)","26_5.4"
"1791","B_2025","3","Modulträger montiert","Injiziert","Montiert","Modulträger montiert","","10","1977.44","","2","2","1","25.6.2025","15.8.2025","—","30.7.2025","15.8.2025","27_7.4 · 27_7.3","","","PZ25 (#12)",""
"1792","B_2025","3","Modulträger montiert","Injiziert","Montiert","Modulträger montiert","","10","1977.65","","2","1","5","25.6.2025","12.8.2025","—","30.7.2025","2.9.2025","27_7.4","","","PZ25 (#12)",""
"1793","A_2025","3","Modulträger montiert","Injiziert","Montiert","Modulträger montiert","","10","1976.20","","2","5","10","25.7.2025","2.9.2025","—","27.8.2025","2.9.2025","27_7.4 · 27_7.3","","","PZ25 (#12)",""
"1795","B_2025","3","Modulträger montiert","Injiziert","Montiert","Modulträger montiert","","10","1976.19","","2","7","7","25.7.2025","18.8.2025","—","11.8.2025","19.8.2025","27_7.4","","","PZ25 (#12)",""
"1796","B_2025","4","Modulträger montiert","Injiziert","Montiert","Modulträger montiert","","10","1978.03","","2","7","8","25.7.2025","18.8.2025","—","12.8.2025","19.8.2025","27_7.4 · 26_2.1","","","PZ25 (#12)",""
"1797","B_2025","3","Modulträger montiert","Injiziert","Montiert","Modulträger montiert","","10","1977.79","","2","6","5","25.7.2025","9.9.2025","—","9.9.2025","9.9.2025","27_7.4","","","PZ25 (#12)",""
"1798","B_2025","3","Modulträger montiert","Injiziert","Montiert","Modulträger montiert","","10","1976.51","","2","3","2","25.6.2025","15.8.2025","—","25.7.2025","15.8.2025","27_7.4 · 27_7.3","","","PZ25 (#12)",""
"1800","B_2025","4","Modulträger montiert","Injiziert","Montiert","Modulträger montiert","","10","1973.24","","2","12","9","25.7.2025","8.8.2025","—","16.9.2025","16.9.2025","27_7.5 · 26_2.1","","","PZ25 (#12)",""
"1804","E_KF2025","26n-B09T08-B1","Geplant","Geplant","Nicht berechnet","Nicht begonnen","","10","1989.36","B1-6-1","2","","","—","—","—","—","—","26_3.1/1.4 · 26_BP_B_9 · 26_BP_B_8","26_1.4 || 2026-06-19","","PZ1 (#1)","26_1.4"
"1834","A","3","Geplant","Geplant","Nicht berechnet","Nicht begonnen","","10","2030.70","","2","","","—","—","—","—","—","26_5.4 · 27_BP_D_3 · 27_BP_C_4","26_5.4 || ","Schongebiet (#1)","PZ2 (#3)","26_5.4"
"1835","E_2025","","Passstück geliefert","Injiziert","Geliefert","Nicht begonnen","","10","1992.39","B5-11-6","2","30","2","24.4.2026","29.4.2026","—","—","—","26_BP_B_1","26_BP_B_1 || 2026-04-27","","PZ25 (#11)","26_BP_B_1"
"1836","E_2025","gebohrt","Passstück geliefert","Injiziert","Geliefert","Nicht begonnen","","10","1992.00","B5-11-5","2","30","5","24.4.2026","29.4.2026","—","—","—","26_BP_B_1","26_BP_B_1 || 2026-04-27","","PZ25 (#11)","26_BP_B_1"
"1837","E_2025","","Passstück geliefert","Injiziert","Geliefert","Nicht begonnen","","10","1991.77","B5-11-4","2","30","8","24.4.2026","29.4.2026","—","—","—","26_BP_B_1","26_BP_B_1 || 2026-04-27","","PZ25 (#11)","26_BP_B_1"
"1838","D_2025","2025","Passstück bestellt","Abgesteckt","Bei Mauchle bestellt","Nicht begonnen","","10","1991.69","B5-11-3","2","35","2","30.4.2026","18.5.2026","—","—","—","26_BP_B_1 · 26_BP_B_2","26_BP_B_2 || 2026-05-13","","PZ25 (#11)","26_BP_B_2"
"1839","D_2025","2025","Passstück bestellt","Abgesteckt","Bei Mauchle bestellt","Nicht begonnen","","10","1991.76","B5-11-2","2","35","5","30.4.2026","18.5.2026","—","—","—","26_BP_B_1 · 26_BP_B_2","26_BP_B_2 || 2026-05-13","","PZ25 (#11)","26_BP_B_2"
"1840","D_2025","2025","Passstück bestellt","Abgesteckt","Bei Mauchle bestellt","Nicht begonnen","","10","1991.75","B5-11-1","2","35","8","30.4.2026","18.5.2026","—","—","—","26_BP_B_1 · 26_BP_B_2","26_BP_B_2 || 2026-05-13","","PZ25 (#11)","26_BP_B_2"
"1842","C","26n-B08T07-C2","Geplant","Geplant","Nicht berechnet","Nicht begonnen","","10","2028.80","","2","","","—","—","—","—","—","26_5.3 · 26_5.4 · 27_BP_D_3 · 27_BP_C_4 · 27_BP_C_3","26_5.3 || 2026-09-22","Schongebiet (#1)","PZ2 (#3)","26_5.3"
"1843","D","26n-B08T07-C2","Geplant","Geplant","Nicht berechnet","Nicht begonnen","","10","2030.82","","2","","","—","—","—","—","—","26_5.3 · 27_9.10 · 27_BP_D_2 · 27_BP_D_3 · 27_BP_C_4 · 27_BP_C_3","26_5.3 || 2026-09-22","Schongebiet (#1)","PZ2 (#3)","26_5.3"
"1846","B_2025","2025","Passstück freigegeben","Abgesteckt","Freigegeben","Nicht begonnen","","10","1994.99","B2-8-3","2","","","—","—","—","—","—","26_1.3/BP_B_6 · 26_BP_B_7","26_BP_B_7 || 2026-08-03","","PZ25 (#12)","26_BP_B_7"
"1847","E_KF2025","26n-B09T08-B1","Geplant","Geplant","Nicht berechnet","Nicht begonnen","","10","1989.75","B1-5-2","2","","","—","—","—","—","—","26_1.5/1.6/BP_B_7 · 26_3.1/1.4 · 26_BP_B_9 · 26_BP_B_8","26_1.4 || 2026-06-19","","PZ1 (#1)","26_1.4"
"1853","C","26b-B03T09-TG","Geplant","Geplant","Nicht berechnet","Nicht begonnen","","10","1975.90","TG.N-1-3","2","","","—","—","—","—","—","26_6.2","26_6.2 || ","Schlussbauzone (#3)","PZ1 (#1)","26_6.2"
"1854","E","26v-B02T02-TG","Geplant","Geplant","Nicht berechnet","Nicht begonnen","","10","1977.88","TG.S-2-1","2","","","—","—","—","—","—","26_3.2 · 27_7.1 · 28_11.2","26_3.2 || 2026-06-18","","PZ1 (#1)","26_3.2"
"1879","B_KF2025","26n-B09T08-B1","Geplant","Geplant","Nicht berechnet","Nicht begonnen","","10","1991.65","B1-7-4","2","","","—","—","—","—","—","26_1.5/1.6/BP_B_7 · 26_BP_B_7 · 26_BP_B_8","26_1.5 || 2026-06-25","","PZ1 (#1)","26_1.5"
"1880","B_KF2025","26n-B09T08-B1","Geplant","Geplant","Nicht berechnet","Nicht begonnen","","10","1991.29","B1-7-3","2","","","—","—","—","—","—","26_1.5/1.6/BP_B_7 · 26_3.1/1.4 · 26_BP_B_7 · 26_BP_B_9 · 26_BP_B_8","26_1.4 || 2026-06-19","","PZ1 (#1)","26_1.4"
"1882","B_2025","2","Modulträger montiert","Injiziert","Montiert","Modulträger montiert","","10","1990.63","","2","24","10","29.9.2025","22.10.2025","—","20.10.2025","22.10.2025","26_1.3/BP_B_6 · 26_BP_B_5","26_1.3 || 2026-05-18","","PZ25 (#12)","26_1.3"
"1883","D_2025","26n-B09T08-B1","Geplant","Geplant","Nicht berechnet","Nicht begonnen","","10","1990.91","B1-7-2","2","","","—","—","—","—","—","26_1.5/1.6/BP_B_7 · 26_3.1/1.4 · 26_BP_B_9 · 26_BP_B_8","26_1.4 || 2026-06-19","","PZ1 (#1)","26_1.4"
"1885","B_2025","2025","Passstück freigegeben","Abgesteckt","Freigegeben","Nicht begonnen","","10","1991.90","B2-6-1","2","26","1","1.12.2025","1.1.2026","—","—","—","26_1.3/BP_B_6 · 26_1.5/1.6/BP_B_7 · 26_BP_B_7 · 26_BP_B_8","26_BP_B_8 || 2026-08-18","","PZ25 (#12)","26_BP_B_8"
"1890","E_KF2025","26n-B09T08-B1","Geplant","Geplant","Nicht berechnet","Nicht begonnen","","10","1990.71","B1-7-1","2","","","—","—","—","—","—","26_3.1/1.4 · 26_BP_B_9 · 26_BP_B_8","26_1.4 || 2026-06-19","","PZ1 (#1)","26_1.4"
"1891","B_2025","2025","Passstück freigegeben","Abgesteckt","Freigegeben","Nicht begonnen","","10","1993.76","B3-8-1","2","","","—","—","—","—","—","26_1.3/BP_B_6 · 26_BP_B_5","26_BP_B_6 || 2026-07-17","","PZ25 (#12)","26_BP_B_6"
"1892","B_2025","2025","Passstück freigegeben","Abgesteckt","Freigegeben","Nicht begonnen","","10","1993.83","B3-8-2","2","","","—","—","—","—","—","26_1.3/BP_B_6 · 26_BP_B_5","26_BP_B_6 || 2026-07-17","","PZ25 (#12)","26_BP_B_6"
"1895","B_2025","2025","Passstück freigegeben","Abgesteckt","Freigegeben","Nicht begonnen","","10","1992.46","B2-6-5","2","","","—","—","—","—","—","26_1.3/BP_B_6 · 26_BP_B_5","26_BP_B_6 || 2026-07-17","","PZ25 (#12)","26_BP_B_6"
"1896","B_2025","2025","Passstück freigegeben","Abgesteckt","Freigegeben","Nicht begonnen","","10","1992.43","B3-7-1","2","","","—","—","—","—","—","26_1.3/BP_B_6 · 26_BP_B_5","26_BP_B_6 || 2026-07-17","","PZ25 (#12)","26_BP_B_6"
"1897","B_2025","","Passstück bestellt","Abgesteckt","Bei Mauchle bestellt","Nicht begonnen","","10","1992.39","B3-7-3","2","","","—","—","—","—","—","26_1.2 · 26_BP_B_4 · 26_BP_B_5","26_BP_B_5 || 2026-07-02","","PZ25 (#12)","26_BP_B_5"
"1898","B_2025","2025","Passstück bestellt","Abgesteckt","Bei Mauchle bestellt","Nicht begonnen","","10","1992.43","B3-7-2","2","","","—","—","—","—","—","26_1.2 · 26_BP_B_4 · 26_BP_B_5","26_BP_B_6 || 2026-07-17","","PZ25 (#12)","26_BP_B_6"
"1899","B_2025","","Passstück bestellt","Abgesteckt","Bei Mauchle bestellt","Nicht begonnen","","10","1992.62","B3-7-5","2","","","—","—","—","—","—","26_1.2 · 26_BP_B_4 · 26_BP_B_5","26_BP_B_5 || 2026-07-02","","PZ25 (#12)","26_BP_B_5"
"1900","B_2025","","Passstück bestellt","Abgesteckt","Bei Mauchle bestellt","Nicht begonnen","","10","1992.41","B3-7-4","2","","","—","—","—","—","—","26_1.2 · 26_BP_B_4 · 26_BP_B_5","26_BP_B_5 || 2026-07-02","","PZ25 (#12)","26_BP_B_5"
"1913","C","26b-B03T09-TG","Geplant","Geplant","Nicht berechnet","Nicht begonnen","","10","1976.86","TG.N-2-2","2","","","—","—","—","—","—","26_6.2","26_6.2 || ","Schlussbauzone (#3)","PZ1 (#1)","26_6.2"
"1914","C","26b-B03T09-TG","Geplant","Geplant","Nicht berechnet","Nicht begonnen","","10","1975.69","TG.N-1-2","2","","","—","—","—","—","—","26_6.2","26_6.2 || ","Schlussbauzone (#3)","PZ1 (#1)","26_6.2"
"1918","C","26v-B04T03-B5","Geplant","Geplant","Nicht berechnet","Nicht begonnen","","10","2031.30","C5-18-1","2","","","—","—","—","—","—","26_4.3 · 26_4.4 · 26_4.5","26_4.3 || 2026-08-06","","PZ2 (#3)","26_4.3"
"1929","C","26b-B03T09-TG","Geplant","Geplant","Nicht berechnet","Nicht begonnen","","10","1980.01","TG.N-3-3","2","","","—","—","—","—","—","26_6.1/BP_B_10 · 26_6.2","26_6.2 || ","Schlussbauzone (#3)","PZ1 (#1)","26_6.2"
"1930","C","26b-B03T09-TG","Geplant","Geplant","Nicht berechnet","Nicht begonnen","","10","1986.08","TG.N-6-1","2","","","—","—","—","—","—","26_6.1/BP_B_10 · 26_6.2","26_6.1 || ","Schlussbauzone (#3)","PZ1 (#1)","26_6.1"
"1931","C","26b-B03T09-TG","Geplant","Geplant","Nicht berechnet","Nicht begonnen","","10","1982.12","TG.N-4-2","2","","","—","—","—","—","—","26_6.1/BP_B_10 · 26_6.2","26_6.1 || ","Schlussbauzone (#3)","PZ1 (#1)","26_6.1"
"1934","B","26b-B05T04-C4","Geplant","Geplant","Nicht berechnet","Nicht begonnen","","10","2023.96","C4-9-5","2","","","—","—","—","—","—","26_4.3 · 26_4.4 · 26_4.2","26_4.4 || 2026-08-17","Schlussbauzone (#2)","PZ2 (#3)","26_4.4"
"1935","C","27n-B09T06-C2-C3","Geplant","Geplant","Nicht berechnet","Nicht begonnen","","10","2017.78","","2","","","—","—","—","—","—","26_5.4 · 26_5.5 · 27_BP_C_6 · 27_BP_C_5","27_BP_C_6 || ","Schongebiet (#1)","PZ2 (#3)","27_BP_C_6"
"1936","B","3","Geplant","Geplant","Nicht berechnet","Nicht begonnen","","10","2016.08","","2","","","—","—","—","—","—","26_5.5 · 27_BP_C_6 · 27_BP_C_5","27_BP_C_6 || ","Schongebiet (#1)","PZ2 (#3)","27_BP_C_6"
"1938","B","26n-B09T08-C2","Geplant","Geplant","Nicht berechnet","Nicht begonnen","","10","2016.05","","2","","","—","—","—","—","—","26_5.3 · 26_5.4 · 27_BP_C_5 · 27_BP_C_4","26_5.3 || 2026-09-22","Schongebiet (#1)","PZ2 (#3)","26_5.3"
"1939","E","26n-B09T08-C2","Geplant","Geplant","Nicht berechnet","Nicht begonnen","","10","2014.84","","2","","","—","—","—","—","—","26_5.4 · 26_5.5 · 27_BP_C_6 · 27_BP_C_5","26_5.4 || ","Schongebiet (#1)","PZ2 (#3)","26_5.4"
"1940","B","27n-B09T06-C2-C3","Geplant","Geplant","Nicht berechnet","Nicht begonnen","","10","2016.99","","2","","","—","—","—","—","—","26_5.4 · 26_5.5 · 27_BP_C_5 · 27_BP_C_4","27_BP_C_5 || ","Schongebiet (#1)","PZ2 (#3)","27_BP_C_5"
"1943","B_2025","2","Primärkonstruktion montiert","Injiziert","Montiert","Primärkonstruktion montiert","","10","1986.57","","2","31","4","24.4.2026","8.9.2026","—","13.10.2025","—","26_1.1 · 26_1.2 · 26_BP_B_4 · 26_2.1","26_1.1 || 2026-04-24","","PZ25 (#12)","26_1.1"
"1944","B_2025","2025","Passstück freigegeben","Abgesteckt","Freigegeben","Nicht begonnen","","10","1994.86","B2-8-2","2","","","—","—","—","—","—","26_1.3/BP_B_6 · 26_1.5/1.6/BP_B_7 · 26_BP_B_7","26_BP_B_7 || 2026-08-03","","PZ25 (#12)","26_BP_B_7"
"1946","B_2025","","Passstück freigegeben","Abgesteckt","Freigegeben","Nicht begonnen","","10","1994.83","B2-8-1","2","","","—","—","—","—","—","26_1.3/BP_B_6 · 26_1.5/1.6/BP_B_7 · 26_BP_B_7 · 26_BP_B_8","26_BP_B_8 || 2026-08-18","Schongebiet (#1)","PZ25 (#12)","26_BP_B_8"
"1948","C","26n-B09T08-B1","Geplant","Geplant","Nicht berechnet","Nicht begonnen","","10","1994.60","B1-9-6","2","","","—","—","—","—","—","26_1.5/1.6/BP_B_7 · 26_BP_B_7 · 26_BP_B_8","26_BP_B_8 || 2026-08-18","Schongebiet (#1)","PZ1 (#1)","26_BP_B_8"
"1949","B_KF2025","26n-B09T08-B1","Geplant","Geplant","Nicht berechnet","Nicht begonnen","","10","1995.91","B1-10-7","2","","","—","—","—","—","—","26_1.5/1.6/BP_B_7 · 26_BP_B_7 · 26_BP_B_8","26_BP_B_9 || 2026-09-02","Schongebiet (#1)","PZ1 (#1)","26_BP_B_9"
"1950","B_KF2025","26n-B09T08-B1","Geplant","Geplant","Nicht berechnet","Nicht begonnen","","10","1992.97","B1-8-3","2","","","—","—","—","—","—","26_1.5/1.6/BP_B_7 · 26_3.1/1.4 · 26_BP_B_7 · 26_BP_B_9 · 26_BP_B_8","26_1.4 || 2026-06-19","Schongebiet (#1)","PZ1 (#1)","26_1.4"
"1951","B","3","Geplant","Geplant","Nicht berechnet","Nicht begonnen","","10","2016.94","","2","","","—","—","—","—","—","26_5.5 · 27_BP_C_6 · 27_BP_C_5","27_BP_C_6 || ","Schongebiet (#1)","PZ2 (#3)","27_BP_C_6"
"1952","B_2025","4","Modulträger montiert","Injiziert","Montiert","Modulträger montiert","","10","1978.22","","2","6","6","25.7.2025","9.9.2025","—","2.9.2025","9.9.2025","27_7.4","","","PZ25 (#12)",""
"1966","B","3","Geplant","Geplant","Nicht berechnet","Nicht begonnen","","10","2032.11","","2","","","—","—","—","—","—","26_5.3 · 27_9.10 · 27_BP_D_2 · 27_BP_D_3 · 27_BP_C_3","27_9.10 || ","Schongebiet (#1)","PZ3 (#6)","27_9.10"
"1968","B_KF2025","26n-B09T08-B1","Geplant","Geplant","Nicht berechnet","Nicht begonnen","","10","1993.84","B1-9-3","2","","","—","—","—","—","—","26_6.1/BP_B_10 · 26_3.1/1.4 · 26_BP_B_9 · 26_BP_B_8","26_BP_B_9 || 2026-09-02","Schongebiet (#1)","PZ1 (#1)","26_BP_B_9"
"1969","B_KF2025","26n-B09T08-B1","Geplant","Geplant","Nicht berechnet","Nicht begonnen","","10","1992.88","B1-9-1","2","","","—","—","—","—","—","26_6.1/BP_B_10 · 26_BP_B_9","26_BP_B_10 || 2026-09-17","Schongebiet (#1)","PZ1 (#1)","26_BP_B_10"
"198","A","26v-B04T03-B5","Geplant","Geplant","Nicht berechnet","Nicht begonnen","","10","2036.28","C5-23-1","2","","","—","—","—","—","—","26_4.5","26_4.5 || 2026-09-10","","PZ2 (#3)","26_4.5"
"1985","B_2025","1","Modulträger montiert","Injiziert","Montiert","Modulträger montiert","","8","1978.42","","2","20","3","12.8.2025","7.10.2025","—","23.9.2025","7.10.2025","27_7.7","","","PZ3 (#4)",""
"1987","E","26v-B01T01-A5","Geplant","Geplant","Nicht berechnet","Nicht begonnen","","10","1979.64","A5.2-4-1","2","37","5","—","—","—","—","—","27_7.5 · 26_2.1","26_2.1 || 2026-05-28","","PZ25 (#12)","26_2.1"
"1989","C","26b-B03T09-TG","Geplant","Geplant","Nicht berechnet","Nicht begonnen","","10","1988.04","TG.N-7-2","2","","","—","—","—","—","—","26_6.1/BP_B_10","26_6.1 || ","Schlussbauzone (#3)","PZ1 (#1)","26_6.1"
"199","B_KF2025","26v-B04T03-B5","Geplant","Geplant","Nicht berechnet","Nicht begonnen","","10","2036.28","C5-23-2","2","","","—","—","—","—","—","26_4.5","26_4.5 || 2026-09-10","","PZ2 (#3)","26_4.5"
"1990","D","26b-B03T09-TG","Geplant","Geplant","Nicht berechnet","Nicht begonnen","","8","1990.49","TG.N-9-1","2","","","—","—","—","—","—","26_6.1/BP_B_10 · 26_BP_B_9","26_6.1 || ","Schlussbauzone (#3)","PZ1 (#1)","26_6.1"
"200","A","26v-B04T03-B5","Geplant","Geplant","Nicht berechnet","Nicht begonnen","","10","2035.51","C5-22-1","2","","","—","—","—","—","—","26_4.5","26_4.5 || 2026-09-10","","PZ2 (#3)","26_4.5"
"201","B_KF2025","26v-B04T03-B5","Geplant","Geplant","Nicht berechnet","Nicht begonnen","","10","2034.47","C5-21-1","2","","","—","—","—","—","—","26_4.5","26_4.5 || 2026-09-10","","PZ2 (#3)","26_4.5"
